"date.x","month_year","swap","IPCA","IPCA_lag","ipcaanual","ipca_exp","ipca","selic","juro_real","juro_real_lag","IBC","hiato","hiato_lag","M1"
2010-05-01,"2010-05",11.63,0.43,0.57,5.21865363847596,0.3,4.84,9.39857142857143,3.97260147849581,3.28892328876995,136.22,-0.370653518054072,1.06900709307852,236231.009
2010-06-01,"2010-06",11.73,0,0.43,4.84122522765644,0.35,4.87,9.93714285714286,4.86060480352166,3.97260147849581,135.87,-1.07050964287224,-0.370653518054072,240063.569
2010-07-01,"2010-07",11.51,0.01,0,4.60066774758499,0.4,4.7,10.3190909090909,5.46690884928691,4.86060480352166,136.73,-0.610342349721699,-1.07050964287224,241185.103
2010-08-01,"2010-08",11.18,0.04,0.01,4.48577934566552,0.4,4.83,10.66,5.90914925743971,5.46690884928691,137.55,-0.260723570042094,-0.610342349721699,248096.06
2010-09-01,"2010-09",11.19,0.45,0.04,4.70467413479749,0.5,4.9,10.66,5.68773640184925,5.90914925743971,138.85,0.528636627203629,-0.260723570042094,254630.048
2010-10-01,"2010-10",11.18,0.75,0.45,5.19541203710459,0.5,5.24,10.66,5.19470180027237,5.68773640184925,138.65,-0.170244862777166,0.528636627203629,255602.306
2010-11-01,"2010-11",11.54,0.83,0.75,5.63542869934526,0.4,5.38,10.66,4.75652095373746,5.19470180027237,140.14,0.840595802955789,-0.170244862777166,265053.833
2010-12-01,"2010-12",11.98,0.63,0.83,5.90906834726621,0.38,5.62,10.6613043478261,4.48709074182176,4.75652095373746,138.68,-1.05669046075901,0.840595802955789,287739.157
2011-01-01,"2011-01",12.32,0.83,0.63,5.99316487796382,0.35,5.53,10.8533333333333,4.58536025503655,4.48709074182176,140.37,0.189997610670487,-1.05669046075901,263311.792
2011-02-01,"2011-02",12.48,0.8,0.83,6.01419944134503,0.3,5.67,11.1695,4.86283968168555,4.58536025503655,140.91,0.320818820232986,0.189997610670487,260344.752
2011-03-01,"2011-03",12.46,0.79,0.8,6.298957040322,0.31,5.55,11.622380952381,5.00797379417339,4.86283968168555,140.98,0.0400988366946496,0.320818820232986,258418.003
2011-04-01,"2011-04",12.44,0.77,0.79,6.51035001445011,0.3,5.6,11.7357894736842,4.90603913941243,5.00797379417339,141.06,-0.174571572864434,0.0400988366946496,254881.493
2011-05-01,"2011-05",12.46,0.47,0.77,6.55277174103162,0.3,5.62,11.92,5.03715499021744,4.90603913941243,141.21,-0.268943211088774,-0.174571572864434,256145.571
2011-06-01,"2011-06",12.52,0.15,0.47,6.71260089864316,0.4,5.16,12.0866666666667,5.03601797985211,5.03715499021744,141.83,0.165780750449188,-0.268943211088774,260499.957
2011-07-01,"2011-07",12.62,0.16,0.15,6.87265379470146,0.47,5.03,12.2533333333333,5.03466447924834,5.03601797985211,142.07,0.310809074434379,0.165780750449188,259274.878
2011-08-01,"2011-08",11.87,0.37,0.16,7.2251925367272,0.45,5.32,12.4178260869565,4.84273651311069,5.03466447924834,141.85,0.103535461014363,0.310809074434379,255050.276
2011-09-01,"2011-09",10.66,0.53,0.37,7.31058840932988,0.59,5.49,11.9052380952381,4.28163683939762,4.84273651311069,141.64,0.00545285413376456,0.103535461014363,262523.711
2011-10-01,"2011-10",10.43,0.43,0.53,6.96975080842674,0.6,5.84,11.6995,4.42157633894447,4.28163683939762,141.63,0.189426242652732,0.00545285413376456,260305.09
2011-11-01,"2011-11",9.98,0.52,0.43,6.64087425630329,0.47,5.62,11.4,4.46275949713102,4.42157633894447,142.31,1.12786621092022,0.189426242652732,268690.702
2011-12-01,"2011-12",9.92,0.5,0.52,6.50310904062883,0.46,5.52,10.9004545454545,4.12884238257141,4.46275949713102,140.96,0.0673978230641517,1.12786621092022,292168.445
2012-01-01,"2012-01",9.93,0.56,0.5,6.21791773406366,0.4,5.35,10.6954545454545,4.21542514380788,4.12884238257141,139.13,-1.5693427076976,0.0673978230641517,266624.937
2012-02-01,"2012-02",9.35,0.45,0.56,5.84910551970927,0.27,5.29,10.4,4.29941704083967,4.21542514380788,140.59,-0.145335653402437,-1.5693427076976,263700.653
2012-03-01,"2012-03",8.95,0.21,0.45,5.23999269897872,0.28,5.24,9.82045454545455,4.35239658328128,4.29941704083967,140.18,-0.822782727113045,-0.145335653402437,265172.466
2012-04-01,"2012-04",8.62,0.64,0.21,5.10422611119592,0.3,5.37,9.38913043478261,4.0768144936945,4.35239658328128,140.86,-0.631774337441859,-0.822782727113045,266494.252
2012-05-01,"2012-05",7.97,0.36,0.64,4.98915230934236,0.4,5.58,8.87260869565217,3.69891203128065,4.0768144936945,142.48,0.356164334258062,-0.631774337441859,267179.533
2012-06-01,"2012-06",7.72,0.08,0.36,4.91576997622545,0.48,5.53,8.3905,3.31192348353537,3.69891203128065,143.54,0.772155968087238,0.356164334258062,273604.994
2012-07-01,"2012-07",7.43,0.43,0.08,5.19859004305434,0.52,5.41,8.07181818181818,2.73124206093249,3.31192348353537,143.82,0.49764288295793,0.772155968087238,273823.647
2012-08-01,"2012-08",7.45,0.41,0.43,5.24051435910222,0.55,5.55,7.84652173913043,2.47623968383124,2.73124206093249,144.21,0.459721067108508,0.49764288295793,275496.62
2012-09-01,"2012-09",7.51,0.57,0.41,5.28238863120372,0.6,5.68,7.39,2.00186507562921,2.47623968383124,143.59,-0.465983731469201,0.459721067108508,283624.015
2012-10-01,"2012-10",7.29,0.59,0.57,5.45011921151828,0.51,5.61,7.23090909090909,1.68875093997645,2.00186507562921,144.85,0.567844146290967,-0.465983731469201,281894.017
2012-11-01,"2012-11",7.26,0.6,0.59,5.53404290368817,0.47,5.47,7.14,1.52174317606446,1.68875093997645,144.63,0.197352337077612,0.567844146290967,296879.634
2012-12-01,"2012-12",7.08,0.79,0.6,5.83856899763917,0.5,5.35,7.1575,1.24617236878009,1.52174317606446,144.13,-0.428631867944941,0.197352337077612,333485.628
2013-01-01,"2013-01",7.17,0.86,0.79,6.15431651851519,0.41,5.67,7.11,0.900277551424966,1.24617236878009,144.98,0.25227279429784,-0.428631867944941,295955.77
2013-02-01,"2013-02",7.63,0.6,0.86,6.31283466164885,0.3,5.68,7.12388888888889,0.762893990947844,0.900277551424966,143.72,-1.25183309079075,0.25227279429784,295465.665
2013-03-01,"2013-03",7.92,0.47,0.6,6.58866878012032,0.32,5.44,7.1475,0.524287643588539,0.762893990947844,145.01,-0.3338716706656,-1.25183309079075,302533.983
2013-04-01,"2013-04",8.06,0.55,0.47,6.49334902465322,0.3,5.45,7.25909090909091,0.719051369358681,0.524287643588539,146.43,0.637554331451006,-0.3338716706656,297020.509
2013-05-01,"2013-05",8.19,0.37,0.55,6.50396015947032,0.4,5.49,7.42380952380952,0.863676207872355,0.719051369358681,146.77,0.53166483155886,0.637554331451006,302852.163
